Solucao analitica
Posicao(m)	Temperatura
       0	320
   0.005	264.188
    0.01	218.76
   0.015	181.783
    0.02	151.686
   0.025	127.189
    0.03	107.249
   0.035	91.0199
    0.04	77.8105
   0.045	67.0593
    0.05	58.3092
   0.055	51.1881
    0.06	45.3933
   0.065	40.6782
    0.07	36.8424
   0.075	33.7228
    0.08	31.1867
   0.085	29.1263
    0.09	27.454
   0.095	26.0987
     0.1	25.0027
   0.105	24.1194
    0.11	23.4113
   0.115	22.8482
    0.12	22.4062
   0.125	22.0666
    0.13	21.8149
   0.135	21.6403
    0.14	21.5355
   0.145	21.4959
    0.15	21.52
   0.155	21.6087
    0.16	21.7658
   0.165	21.9981
    0.17	22.3152
   0.175	22.7308
    0.18	23.2626
   0.185	23.9331
    0.19	24.7708
   0.195	25.8114
     0.2	27.0991
   0.205	28.6886
    0.21	30.6477
   0.215	33.0595
    0.22	36.0266
   0.225	39.6753
    0.23	44.1605
   0.235	49.6732
    0.24	56.4476
   0.245	64.7719
    0.25	75
