Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	262.618
    0.01	216.213
   0.015	178.683
    0.02	148.332
   0.025	123.787
    0.03	103.936
   0.035	87.8831
    0.04	74.901
   0.045	64.4026
    0.05	55.913
   0.055	49.0482
    0.06	43.4975
   0.065	39.0099
    0.07	35.3825
   0.075	32.451
    0.08	30.0829
   0.085	28.171
    0.09	26.629
   0.095	25.3869
     0.1	24.3886
   0.105	23.5891
    0.11	22.952
   0.115	22.4485
    0.12	22.056
   0.125	21.7566
    0.13	21.5368
   0.135	21.3866
    0.14	21.2992
   0.145	21.2707
    0.15	21.2999
   0.155	21.3879
    0.16	21.5388
   0.165	21.7594
    0.17	22.0597
   0.175	22.4532
    0.18	22.9578
   0.185	23.5962
    0.19	24.3974
   0.195	25.3976
     0.2	26.642
   0.205	28.187
    0.21	30.1023
   0.215	32.4747
    0.22	35.4114
   0.225	39.0454
    0.23	43.5409
   0.235	49.1014
    0.24	55.9784
   0.245	64.4831
    0.25	75
