Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	220.841
    0.01	154.457
   0.015	110.015
    0.02	80.2622
   0.025	60.3438
    0.03	47.0089
   0.035	38.0817
    0.04	32.1051
   0.045	28.104
    0.05	25.4254
   0.055	23.6321
    0.06	22.4316
   0.065	21.6279
    0.07	21.0899
   0.075	20.7296
    0.08	20.4885
   0.085	20.3271
    0.09	20.2191
   0.095	20.1468
     0.1	20.0984
   0.105	20.0662
    0.11	20.0447
   0.115	20.0305
    0.12	20.0213
   0.125	20.0156
    0.13	20.0124
   0.135	20.0113
    0.14	20.012
   0.145	20.0147
    0.15	20.0198
   0.155	20.0281
    0.16	20.0409
   0.165	20.0605
    0.17	20.0899
   0.175	20.134
    0.18	20.2
   0.185	20.2986
    0.19	20.4459
   0.195	20.6659
     0.2	20.9947
   0.205	21.4858
    0.21	22.2193
   0.215	23.315
    0.22	24.9516
   0.225	27.3964
    0.23	31.0481
   0.235	36.5027
    0.24	44.6504
   0.245	56.8208
    0.25	75
