Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
0.00510204	219.763
0.0102041	153.018
0.0153061	108.573
0.0204082	78.9789
0.0255102	59.2727
0.0306122	46.1508
0.0357143	37.4132
0.0408163	31.595
0.0459184	27.7209
0.0510204	25.1411
0.0561224	23.4234
0.0612245	22.2795
0.0663265	21.5179
0.0714286	21.0108
0.0765306	20.6731
0.0816327	20.4482
0.0867347	20.2985
0.0918367	20.1989
0.0969388	20.1326
0.102041	20.0885
0.107143	20.0593
0.112245	20.04
0.117347	20.0274
0.122449	20.0194
0.127551	20.0147
0.132653	20.0124
0.137755	20.0123
0.142857	20.0142
0.147959	20.0184
0.153061	20.0258
0.158163	20.0374
0.163265	20.0554
0.168367	20.0826
0.173469	20.1237
0.178571	20.1855
0.183673	20.2784
0.188776	20.418
0.193878	20.6277
 0.19898	20.9426
0.204082	21.4155
0.209184	22.1258
0.214286	23.1924
0.219388	24.7943
 0.22449	27.2
0.229592	30.8128
0.234694	36.2384
0.239796	44.3866
0.244898	56.6232
    0.25	75
