Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
0.00252525	263.676
0.00505051	217.53
0.00757576	179.739
0.010101	148.809
0.0126263	123.515
0.0151515	102.853
0.0176768	85.9979
0.020202	72.2713
0.0227273	61.1136
0.0252525	52.064
0.0277778	44.7419
0.030303	38.8333
0.0328283	34.0792
0.0353535	30.2659
0.0378788	27.2171
0.040404	24.7881
0.0429293	22.8597
0.0454545	21.3344
0.0479798	20.1326
0.0505051	19.1894
0.0530303	18.452
0.0555556	17.878
0.0580808	17.4328
0.0606061	17.089
0.0631313	16.8247
0.0656566	16.6222
0.0681818	16.4678
0.0707071	16.3504
0.0732323	16.2617
0.0757576	16.1949
0.0782828	16.1447
0.0808081	16.1072
0.0833333	16.0793
0.0858586	16.0586
0.0883838	16.0434
0.0909091	16.0321
0.0934343	16.0239
0.0959596	16.0179
0.0984848	16.0135
 0.10101	16.0103
0.103535	16.008
0.106061	16.0064
0.108586	16.0052
0.111111	16.0044
0.113636	16.0038
0.116162	16.0033
0.118687	16.003
0.121212	16.0028
0.123737	16.0027
0.126263	16.0026
0.128788	16.0025
0.131313	16.0024
0.133838	16.0024
0.136364	16.0024
0.138889	16.0024
0.141414	16.0024
0.143939	16.0023
0.146465	16.0023
 0.14899	16.0023
0.151515	16.0023
 0.15404	16.0023
0.156566	16.0023
0.159091	16.0023
0.161616	16.0023
0.164141	16.0023
0.166667	16.0023
0.169192	16.0024
0.171717	16.0024
0.174242	16.0026
0.176768	16.003
0.179293	16.0039
0.181818	16.0059
0.184343	16.0098
0.186869	16.017
0.189394	16.0299
0.191919	16.052
0.194444	16.0881
 0.19697	16.1451
0.199495	16.2319
 0.20202	16.3603
0.204545	16.5447
0.207071	16.8025
0.209596	17.1546
0.212121	17.6251
0.214646	18.2417
0.217172	19.036
0.219697	20.0439
0.222222	21.3063
0.224747	22.8699
0.227273	24.7895
0.229798	27.1294
0.232323	29.9665
0.234848	33.3942
0.237374	37.5264
0.239899	42.5032
0.242424	48.498
0.244949	55.7251
0.247475	64.4497
    0.25	75
